,Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score,model,LR
0,ESN,sinus_forecasting,medium,10000,1000,0,regression,,5.9646000546322005e-09,esn_10k_medium,
1,ESN,sinus_forecasting,medium,10000,1000,1,regression,,3.938917174057627e-08,esn_10k_medium,
2,ESN,sinus_forecasting,medium,10000,1000,2,regression,,3.608283981861927e-09,esn_10k_medium,
3,ESN,sinus_forecasting,medium,10000,1000,3,regression,,2.2828645238339916e-08,esn_10k_medium,
4,ESN,sinus_forecasting,medium,10000,1000,4,regression,,2.6828622851451182e-09,esn_10k_medium,
5,ESN,sinus_forecasting,medium,10000,1000,5,regression,,5.034504043244315e-09,esn_10k_medium,
6,ESN,sinus_forecasting,medium,10000,1000,6,regression,,2.852759854564312e-09,esn_10k_medium,
7,ESN,sinus_forecasting,medium,10000,1000,7,regression,,3.396367711271645e-09,esn_10k_medium,
8,ESN,sinus_forecasting,medium,10000,1000,8,regression,,3.1437559021632682e-09,esn_10k_medium,
9,ESN,sinus_forecasting,medium,10000,1000,9,regression,,5.1847247073171046e-09,esn_10k_medium,
10,ESN,chaotic_forecasting,medium,10000,3000,0,regression,,4.912500458972907e-05,esn_10k_medium,
11,ESN,chaotic_forecasting,medium,10000,3000,1,regression,,4.3821803582626425e-05,esn_10k_medium,
12,ESN,chaotic_forecasting,medium,10000,3000,2,regression,,5.702889932417093e-05,esn_10k_medium,
13,ESN,chaotic_forecasting,medium,10000,3000,3,regression,,0.0001000402055269,esn_10k_medium,
14,ESN,chaotic_forecasting,medium,10000,3000,4,regression,,5.7336833552555296e-05,esn_10k_medium,
15,ESN,chaotic_forecasting,medium,10000,3000,5,regression,,6.276853546921193e-05,esn_10k_medium,
16,ESN,chaotic_forecasting,medium,10000,3000,6,regression,,0.0001164598065214,esn_10k_medium,
17,ESN,chaotic_forecasting,medium,10000,3000,7,regression,,2.7125857853623707e-05,esn_10k_medium,
18,ESN,chaotic_forecasting,medium,10000,3000,8,regression,,6.227616707667732e-05,esn_10k_medium,
19,ESN,chaotic_forecasting,medium,10000,3000,9,regression,,4.156373002930405e-05,esn_10k_medium,
20,ESN,discrete_postcasting,medium,10000,8000,0,classification,,0.0001529411764705,esn_10k_medium,
21,ESN,discrete_postcasting,medium,10000,8000,1,classification,,0.0001647058823529,esn_10k_medium,
22,ESN,discrete_postcasting,medium,10000,8000,2,classification,,1.1764705882377768e-05,esn_10k_medium,
23,ESN,discrete_postcasting,medium,10000,8000,3,classification,,0.0004705882352941,esn_10k_medium,
24,ESN,discrete_postcasting,medium,10000,8000,4,classification,,0.0002117647058823,esn_10k_medium,
25,ESN,discrete_postcasting,medium,10000,8000,5,classification,,0.0003882352941176,esn_10k_medium,
26,ESN,discrete_postcasting,medium,10000,8000,6,classification,,0.0001882352941176,esn_10k_medium,
27,ESN,discrete_postcasting,medium,10000,8000,7,classification,,0.0001999999999999,esn_10k_medium,
28,ESN,discrete_postcasting,medium,10000,8000,8,classification,,0.0005529411764705,esn_10k_medium,
29,ESN,discrete_postcasting,medium,10000,8000,9,classification,,0.0001529411764705,esn_10k_medium,
30,ESN,continuous_postcasting,medium,10000,1000,0,regression,,0.0002758433588178,esn_10k_medium,
31,ESN,continuous_postcasting,medium,10000,1000,1,regression,,0.0002542008907335,esn_10k_medium,
32,ESN,continuous_postcasting,medium,10000,1000,2,regression,,0.0002743512460549,esn_10k_medium,
33,ESN,continuous_postcasting,medium,10000,1000,3,regression,,0.0002336528894002,esn_10k_medium,
34,ESN,continuous_postcasting,medium,10000,1000,4,regression,,0.0002327907708103,esn_10k_medium,
35,ESN,continuous_postcasting,medium,10000,1000,5,regression,,0.0002261715990268,esn_10k_medium,
36,ESN,continuous_postcasting,medium,10000,1000,6,regression,,0.000226081103085,esn_10k_medium,
37,ESN,continuous_postcasting,medium,10000,1000,7,regression,,0.0002832628468655,esn_10k_medium,
38,ESN,continuous_postcasting,medium,10000,1000,8,regression,,0.0002349121254514,esn_10k_medium,
39,ESN,continuous_postcasting,medium,10000,1000,9,regression,,0.0002792886233856,esn_10k_medium,
40,ESN,discrete_pattern_completion,medium,10000,8000,0,classification,,0.0980333333333333,esn_10k_medium,
41,ESN,discrete_pattern_completion,medium,10000,8000,1,classification,,0.0993666666666667,esn_10k_medium,
42,ESN,discrete_pattern_completion,medium,10000,8000,2,classification,,0.0990666666666666,esn_10k_medium,
43,ESN,discrete_pattern_completion,medium,10000,8000,3,classification,,0.0962666666666666,esn_10k_medium,
44,ESN,discrete_pattern_completion,medium,10000,8000,4,classification,,0.0985666666666666,esn_10k_medium,
45,ESN,discrete_pattern_completion,medium,10000,8000,5,classification,,0.0948666666666666,esn_10k_medium,
46,ESN,discrete_pattern_completion,medium,10000,8000,6,classification,,0.1005666666666667,esn_10k_medium,
47,ESN,discrete_pattern_completion,medium,10000,8000,7,classification,,0.1035333333333333,esn_10k_medium,
48,ESN,discrete_pattern_completion,medium,10000,8000,8,classification,,0.0991333333333333,esn_10k_medium,
49,ESN,discrete_pattern_completion,medium,10000,8000,9,classification,,0.1052999999999999,esn_10k_medium,
50,ESN,continuous_pattern_completion,medium,10000,1000,0,regression,,0.0605882930499701,esn_10k_medium,
51,ESN,continuous_pattern_completion,medium,10000,1000,1,regression,,0.0591297497585842,esn_10k_medium,
52,ESN,continuous_pattern_completion,medium,10000,1000,2,regression,,0.0586136580259046,esn_10k_medium,
53,ESN,continuous_pattern_completion,medium,10000,1000,3,regression,,0.0581607543850433,esn_10k_medium,
