Model,Task,Difficulty,Target_Params,Actual_Params,LR,Seed,Category,Best_Val_Score,Test_Score
ESN,associative_recall,small,1000,500,N/A,0,classification,,0.54
ESN,associative_recall,small,1000,500,N/A,1,classification,,0.5700000000000001
ESN,associative_recall,small,1000,500,N/A,2,classification,,0.64
ESN,associative_recall,small,1000,500,N/A,3,classification,,0.56
ESN,associative_recall,small,1000,500,N/A,4,classification,,0.6799999999999999
ESN,associative_recall,small,1000,500,N/A,5,classification,,0.5900000000000001
ESN,associative_recall,small,1000,500,N/A,6,classification,,0.43999999999999995
ESN,associative_recall,small,1000,500,N/A,7,classification,,0.5
ESN,associative_recall,small,1000,500,N/A,8,classification,,0.56
ESN,associative_recall,small,1000,500,N/A,9,classification,,0.6599999999999999
ESN,associative_recall,medium,1000,1600,N/A,0,classification,,0.847
ESN,associative_recall,medium,1000,1600,N/A,1,classification,,0.858
ESN,associative_recall,medium,1000,1600,N/A,2,classification,,0.861
ESN,associative_recall,medium,1000,1600,N/A,3,classification,,0.843
ESN,associative_recall,medium,1000,1600,N/A,4,classification,,0.849
ESN,associative_recall,medium,1000,1600,N/A,5,classification,,0.857
ESN,associative_recall,medium,1000,1600,N/A,6,classification,,0.838
ESN,associative_recall,medium,1000,1600,N/A,7,classification,,0.881
ESN,associative_recall,medium,1000,1600,N/A,8,classification,,0.87
ESN,associative_recall,medium,1000,1600,N/A,9,classification,,0.833
ESN,associative_recall,small,10000,5000,N/A,0,classification,,0.5800000000000001
ESN,associative_recall,small,10000,5000,N/A,1,classification,,0.5700000000000001
ESN,associative_recall,small,10000,5000,N/A,2,classification,,0.51
ESN,associative_recall,small,10000,5000,N/A,3,classification,,0.55
ESN,associative_recall,small,10000,5000,N/A,4,classification,,0.45999999999999996
ESN,associative_recall,small,10000,5000,N/A,5,classification,,0.52
ESN,associative_recall,small,10000,5000,N/A,6,classification,,0.48
ESN,associative_recall,small,10000,5000,N/A,7,classification,,0.54
ESN,associative_recall,small,10000,5000,N/A,8,classification,,0.48
ESN,associative_recall,small,10000,5000,N/A,9,classification,,0.53
ESN,associative_recall,medium,10000,16000,N/A,0,classification,,0.769
ESN,associative_recall,medium,10000,16000,N/A,1,classification,,0.774
ESN,associative_recall,medium,10000,16000,N/A,2,classification,,0.792
ESN,associative_recall,medium,10000,16000,N/A,3,classification,,0.795
ESN,associative_recall,medium,10000,16000,N/A,4,classification,,0.775
ESN,associative_recall,medium,10000,16000,N/A,5,classification,,0.786
ESN,associative_recall,medium,10000,16000,N/A,6,classification,,0.774
ESN,associative_recall,medium,10000,16000,N/A,7,classification,,0.788
ESN,associative_recall,medium,10000,16000,N/A,8,classification,,0.774
ESN,associative_recall,medium,10000,16000,N/A,9,classification,,0.759
