Model,Task,Difficulty,Target_Params,Actual_Params,LR,Seed,Category,Best_Val_Score,Test_Score
ESN,induction_heads,small,1000,300,N/A,0,classification,,0.36421052631578943
ESN,induction_heads,small,1000,300,N/A,1,classification,,0.37315789473684213
ESN,induction_heads,small,1000,300,N/A,2,classification,,0.33999999999999997
ESN,induction_heads,small,1000,300,N/A,3,classification,,0.34947368421052627
ESN,induction_heads,small,1000,300,N/A,4,classification,,0.3894736842105263
ESN,induction_heads,small,1000,300,N/A,5,classification,,0.3526315789473684
ESN,induction_heads,small,1000,300,N/A,6,classification,,0.35
ESN,induction_heads,small,1000,300,N/A,7,classification,,0.3589473684210527
ESN,induction_heads,small,1000,300,N/A,8,classification,,0.3410526315789474
ESN,induction_heads,small,1000,300,N/A,9,classification,,0.3489473684210527
ESN,induction_heads,small,10000,3000,N/A,0,classification,,0.01684210526315788
ESN,induction_heads,small,10000,3000,N/A,1,classification,,0.013157894736842146
ESN,induction_heads,small,10000,3000,N/A,2,classification,,0.017894736842105297
ESN,induction_heads,small,10000,3000,N/A,3,classification,,0.0189473684210526
ESN,induction_heads,small,10000,3000,N/A,4,classification,,0.0189473684210526
ESN,induction_heads,small,10000,3000,N/A,5,classification,,0.02157894736842103
ESN,induction_heads,small,10000,3000,N/A,6,classification,,0.020526315789473726
ESN,induction_heads,small,10000,3000,N/A,7,classification,,0.01210526315789473
ESN,induction_heads,small,10000,3000,N/A,8,classification,,0.013684210526315743
ESN,induction_heads,small,10000,3000,N/A,9,classification,,0.010000000000000009
ESN,induction_heads,medium,1000,800,N/A,0,classification,,0.7297755102040817
ESN,induction_heads,medium,1000,800,N/A,1,classification,,0.7346122448979592
ESN,induction_heads,medium,1000,800,N/A,2,classification,,0.7276938775510204
ESN,induction_heads,medium,1000,800,N/A,3,classification,,0.7330816326530611
ESN,induction_heads,medium,1000,800,N/A,4,classification,,0.7279183673469387
ESN,induction_heads,medium,1000,800,N/A,5,classification,,0.7325714285714287
ESN,induction_heads,medium,1000,800,N/A,6,classification,,0.7276530612244898
ESN,induction_heads,medium,1000,800,N/A,7,classification,,0.7353469387755103
ESN,induction_heads,medium,1000,800,N/A,8,classification,,0.7371224489795918
ESN,induction_heads,medium,1000,800,N/A,9,classification,,0.7352857142857143
ESN,induction_heads,medium,10000,8000,N/A,0,classification,,0.6420204081632653
ESN,induction_heads,medium,10000,8000,N/A,1,classification,,0.6445918367346939
ESN,induction_heads,medium,10000,8000,N/A,2,classification,,0.641
ESN,induction_heads,medium,10000,8000,N/A,3,classification,,0.6440204081632652
ESN,induction_heads,medium,10000,8000,N/A,4,classification,,0.6436530612244897
ESN,induction_heads,medium,10000,8000,N/A,5,classification,,0.6446530612244898
ESN,induction_heads,medium,10000,8000,N/A,6,classification,,0.6413265306122449
ESN,induction_heads,medium,10000,8000,N/A,7,classification,,0.6432857142857142
ESN,induction_heads,medium,10000,8000,N/A,8,classification,,0.6438775510204082
ESN,induction_heads,medium,10000,8000,N/A,9,classification,,0.6476938775510204
