Model,Task,Difficulty,Target_Params,Actual_Params,LR,Seed,Category,Best_Val_Score,Test_Score
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.01,0,regression,0.0021277680903421725,0.016553152538884532
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.01,1,regression,0.009529478266590655,0.007052435831520362
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.01,2,regression,0.0009218735760337943,0.024906584796580422
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.01,3,regression,0.008835015986674518,0.00727638505970811
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.01,4,regression,0.036907377242533415,0.060080688474157415
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.01,5,regression,0.01990761031635679,0.07100032555770533
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.01,6,regression,0.009419011554893105,0.007075009814568089
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.01,7,regression,0.012632629272438523,0.18440799426437876
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.01,8,regression,0.007854949029903451,0.00782801631284766
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.01,9,regression,0.016466991978407737,0.17389658870026128
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.003,0,regression,0.001640432521890461,0.02961546121192095
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.003,1,regression,0.01137086756265847,0.061484697592465776
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.003,2,regression,0.013402260483780492,0.009637138541716408
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.003,3,regression,0.0052580387348137225,0.015422726836523926
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.003,4,regression,0.02284979020826554,0.025651849507848896
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.003,5,regression,0.019672142664770676,0.05399316538942231
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.003,6,regression,0.024803619585897947,0.015060266421489521
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.003,7,regression,0.013135405910905857,0.02018867717562995
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.003,8,regression,0.014414007157043806,0.16683274178280993
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.003,9,regression,0.024868555443369116,0.020726862760073746
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.001,0,regression,0.0129166533511651,0.00944557212455125
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.001,1,regression,0.011666231101784745,0.11219801593832066
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.001,2,regression,0.015243879489332632,0.01620491621197157
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.001,3,regression,0.01031275005226396,0.020954309802551967
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.001,4,regression,0.01370258661249677,0.04277705777379027
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.001,5,regression,0.05567066616578479,0.0741532337978923
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.001,6,regression,0.10196315788209324,0.09519843231511255
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.001,7,regression,0.01001788057090155,0.23063457115428304
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.001,8,regression,0.016603363839489342,0.13838429133937788
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.001,9,regression,0.084417519001153,0.05635029437992956
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.0003,0,regression,0.12686136673431575,0.17884906400891143
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.0003,1,regression,0.1340273996911998,0.13733557349150466
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.0003,2,regression,0.03405203524824216,0.03814526755805538
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.0003,3,regression,0.0991013042688562,0.09191657534897081
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.0003,4,regression,0.10192038874778149,0.12918504691745278
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.0003,5,regression,0.12150504055427358,0.1309693266598564
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.0003,6,regression,0.1095390228918249,0.11952120016192457
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.0003,7,regression,0.07261633385199291,0.13727971235516806
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.0003,8,regression,0.01734620079970504,0.024720816503380635
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.0003,9,regression,0.10023940783460598,0.062334541735486325
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.0001,0,regression,0.49574797687248306,0.5493400369599916
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.0001,1,regression,0.4305651204268667,0.427061390699162
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.0001,2,regression,0.26652233211506016,0.24841065319847044
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.0001,3,regression,0.3736453913578829,0.3442992630385327
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.0001,4,regression,0.5401915570961281,0.5216065857338654
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.0001,5,regression,0.2209444840742773,0.20851999934546825
DYNAMICAL_TRANSFORMER,sinus_forecasting,small,1000,1181,0.0001,6,regression,0.4612209181442239,0.4480821063169357
