Model,Task,Difficulty,Target_Params,Actual_Params,LR,Seed,Category,Best_Val_Score,Test_Score
LSTM,sinus_forecasting,small,1000,967,0.01,0,regression,0.013041233961341972,0.011098904019732264
LSTM,sinus_forecasting,small,1000,967,0.01,1,regression,0.008781014170781441,0.011795992278708119
LSTM,sinus_forecasting,small,1000,967,0.01,2,regression,0.014963375979577875,0.013397621846678288
LSTM,sinus_forecasting,small,1000,967,0.01,3,regression,0.01909411804392381,0.02067825304115164
LSTM,sinus_forecasting,small,1000,967,0.01,4,regression,0.014869928796989309,0.010234769789924165
LSTM,sinus_forecasting,small,1000,967,0.01,5,regression,0.010223847872921523,0.011136454259575341
LSTM,sinus_forecasting,small,1000,967,0.01,6,regression,0.011847313389032136,0.015844546236528038
LSTM,sinus_forecasting,small,1000,967,0.01,7,regression,0.0275497200864201,0.02857376667061701
LSTM,sinus_forecasting,small,1000,967,0.01,8,regression,0.0161534190190774,0.029048092929673055
LSTM,sinus_forecasting,small,1000,967,0.01,9,regression,0.026209478993120927,0.018682293919324765
LSTM,sinus_forecasting,small,1000,967,0.003,0,regression,0.02543139513468945,0.025239296163984015
LSTM,sinus_forecasting,small,1000,967,0.003,1,regression,0.016623925533498122,0.017420242182074972
LSTM,sinus_forecasting,small,1000,967,0.003,2,regression,0.026902301353151248,0.03240176082258379
LSTM,sinus_forecasting,small,1000,967,0.003,3,regression,0.02974260431389436,0.02506369666640668
LSTM,sinus_forecasting,small,1000,967,0.003,4,regression,0.02311666877005044,0.01991766013154302
LSTM,sinus_forecasting,small,1000,967,0.003,5,regression,0.023140446191223733,0.019979317685115506
LSTM,sinus_forecasting,small,1000,967,0.003,6,regression,0.02145094736960629,0.020758496035441817
LSTM,sinus_forecasting,small,1000,967,0.003,7,regression,0.03006553253079458,0.02659023120829164
LSTM,sinus_forecasting,small,1000,967,0.003,8,regression,0.030307270766067256,0.02936019879941594
LSTM,sinus_forecasting,small,1000,967,0.003,9,regression,0.02626760028175148,0.026485513096648514
LSTM,sinus_forecasting,small,1000,967,0.001,0,regression,0.027680244068073463,0.020249346237214975
LSTM,sinus_forecasting,small,1000,967,0.001,1,regression,0.021634934727825336,0.02387565780761709
LSTM,sinus_forecasting,small,1000,967,0.001,2,regression,0.035058431719732684,0.029792299701255784
LSTM,sinus_forecasting,small,1000,967,0.001,3,regression,0.03067541875812314,0.027129410099636486
LSTM,sinus_forecasting,small,1000,967,0.001,4,regression,0.029675656055565235,0.0223926955994191
LSTM,sinus_forecasting,small,1000,967,0.001,5,regression,0.029456850221827657,0.024972521680323947
LSTM,sinus_forecasting,small,1000,967,0.001,6,regression,0.023827822206652572,0.022087120653837153
LSTM,sinus_forecasting,small,1000,967,0.001,7,regression,0.03323645131095656,0.027437400517047936
LSTM,sinus_forecasting,small,1000,967,0.001,8,regression,0.030207558077786238,0.023483004081439683
LSTM,sinus_forecasting,small,1000,967,0.001,9,regression,0.03349199963442066,0.02751531119366736
LSTM,sinus_forecasting,small,1000,967,0.0003,0,regression,0.39064769337577676,0.37762600712498184
LSTM,sinus_forecasting,small,1000,967,0.0003,1,regression,0.32265251129739764,0.3188352416478416
LSTM,sinus_forecasting,small,1000,967,0.0003,2,regression,0.2843666424364858,0.28403578477644675
LSTM,sinus_forecasting,small,1000,967,0.0003,3,regression,0.36008358770852616,0.35218190018772993
LSTM,sinus_forecasting,small,1000,967,0.0003,4,regression,0.36482677045221806,0.3593612406683609
LSTM,sinus_forecasting,small,1000,967,0.0003,5,regression,0.40839153074284484,0.3941308255977127
LSTM,sinus_forecasting,small,1000,967,0.0003,6,regression,0.3578249264308177,0.3484545824557376
LSTM,sinus_forecasting,small,1000,967,0.0003,7,regression,0.3473565316164618,0.34668348752987277
LSTM,sinus_forecasting,small,1000,967,0.0003,8,regression,0.4492162040051656,0.42564459121632914
LSTM,sinus_forecasting,small,1000,967,0.0003,9,regression,0.38478971199037637,0.3802554862428691
LSTM,sinus_forecasting,small,1000,967,0.0001,0,regression,0.5264540718881655,0.4960680433962607
LSTM,sinus_forecasting,small,1000,967,0.0001,1,regression,0.5052355537405104,0.47662774783624773
LSTM,sinus_forecasting,small,1000,967,0.0001,2,regression,0.4459429376142974,0.42558739300773535
LSTM,sinus_forecasting,small,1000,967,0.0001,3,regression,0.5010509685262978,0.47546950115411724
LSTM,sinus_forecasting,small,1000,967,0.0001,4,regression,0.4869181260564496,0.4657363593284509
LSTM,sinus_forecasting,small,1000,967,0.0001,5,regression,0.5282354870660982,0.49677464932105814
LSTM,sinus_forecasting,small,1000,967,0.0001,6,regression,0.5084357601724705,0.4777334707997766
LSTM,sinus_forecasting,small,1000,967,0.0001,7,regression,0.48354568025100947,0.46361588592597686
LSTM,sinus_forecasting,small,1000,967,0.0001,8,regression,0.5848333470984832,0.5428326530588958
LSTM,sinus_forecasting,small,1000,967,0.0001,9,regression,0.5031150087408044,0.4813016227472675
LSTM,sinus_forecasting,small,10000,9841,0.01,0,regression,0.009208514973397685,0.030141207529778353
LSTM,sinus_forecasting,small,10000,9841,0.01,1,regression,0.00960847329058643,0.019524609982559435
LSTM,sinus_forecasting,small,10000,9841,0.01,2,regression,0.010157466331291286,0.013839530737364079
LSTM,sinus_forecasting,small,10000,9841,0.01,3,regression,0.01931775580513654,0.03674342372727702
LSTM,sinus_forecasting,small,10000,9841,0.01,4,regression,0.016538479321848026,0.03874626584578542
LSTM,sinus_forecasting,small,10000,9841,0.01,5,regression,0.006831531320473853,0.01984608739277673
LSTM,sinus_forecasting,small,10000,9841,0.01,6,regression,0.011116653522473343,0.0477744351874344
LSTM,sinus_forecasting,small,10000,9841,0.01,7,regression,0.015033387590066661,0.016269969312408972
LSTM,sinus_forecasting,small,10000,9841,0.01,8,regression,0.022529929392595065,0.019157099995494153
LSTM,sinus_forecasting,small,10000,9841,0.01,9,regression,0.01730966615690766,0.03187916100514711
LSTM,sinus_forecasting,small,10000,9841,0.003,0,regression,0.01504325970090423,0.036078442039134385
LSTM,sinus_forecasting,small,10000,9841,0.003,1,regression,0.02024037633544967,0.03413782098940711
LSTM,sinus_forecasting,small,10000,9841,0.003,2,regression,0.014768898089303668,0.016335043140961465
LSTM,sinus_forecasting,small,10000,9841,0.003,3,regression,0.027519911659604712,0.030450220102431688
LSTM,sinus_forecasting,small,10000,9841,0.003,4,regression,0.031234989604306335,0.032664329060718464
LSTM,sinus_forecasting,small,10000,9841,0.003,5,regression,0.020009526174752806,0.020537555828739777
LSTM,sinus_forecasting,small,10000,9841,0.003,6,regression,0.0296948961697072,0.02035084583346415
LSTM,sinus_forecasting,small,10000,9841,0.003,7,regression,0.017992786815930216,0.040980115551519626
LSTM,sinus_forecasting,small,10000,9841,0.003,8,regression,0.0318271359638409,0.03559858493715011
LSTM,sinus_forecasting,small,10000,9841,0.003,9,regression,0.02373346546788866,0.03279377416930379
LSTM,sinus_forecasting,small,10000,9841,0.001,0,regression,0.031255809433756256,0.04008041433078078
LSTM,sinus_forecasting,small,10000,9841,0.001,1,regression,0.028083618754901767,0.03428439783226972
LSTM,sinus_forecasting,small,10000,9841,0.001,2,regression,0.02751975021541984,0.03859874615280535
LSTM,sinus_forecasting,small,10000,9841,0.001,3,regression,0.035192837160444135,0.04403627233968645
LSTM,sinus_forecasting,small,10000,9841,0.001,4,regression,0.04839717013835891,0.049185227952501
LSTM,sinus_forecasting,small,10000,9841,0.001,5,regression,0.036425766763200376,0.030805585366138016
LSTM,sinus_forecasting,small,10000,9841,0.001,6,regression,0.040304500024952186,0.04255957600545522
LSTM,sinus_forecasting,small,10000,9841,0.001,7,regression,0.023812683798432974,0.04722135949216972
LSTM,sinus_forecasting,small,10000,9841,0.001,8,regression,0.0331735426869952,0.04507916087468551
LSTM,sinus_forecasting,small,10000,9841,0.001,9,regression,0.02802597370686961,0.03845680741717487
LSTM,sinus_forecasting,small,10000,9841,0.0003,0,regression,0.04290177953618383,0.050199241585090516
LSTM,sinus_forecasting,small,10000,9841,0.0003,1,regression,0.035204879649071985,0.040554280538253516
LSTM,sinus_forecasting,small,10000,9841,0.0003,2,regression,0.03976464518801104,0.038454263646116135
LSTM,sinus_forecasting,small,10000,9841,0.0003,3,regression,0.04779847701141957,0.061008680146779355
LSTM,sinus_forecasting,small,10000,9841,0.0003,4,regression,0.039122799294285616,0.057417014325577526
LSTM,sinus_forecasting,small,10000,9841,0.0003,5,regression,0.032007769997925165,0.04029198079716124
LSTM,sinus_forecasting,small,10000,9841,0.0003,6,regression,0.04548291893786972,0.04142120431359783
LSTM,sinus_forecasting,small,10000,9841,0.0003,7,regression,0.036965502449676106,0.053521579610126255
LSTM,sinus_forecasting,small,10000,9841,0.0003,8,regression,0.03997258226258386,0.04511530344003069
LSTM,sinus_forecasting,small,10000,9841,0.0003,9,regression,0.03391989244736395,0.04821131052679441
LSTM,sinus_forecasting,small,10000,9841,0.0001,0,regression,0.4265435578432085,0.4097158374521741
LSTM,sinus_forecasting,small,10000,9841,0.0001,1,regression,0.41460389204337994,0.3972829227832812
LSTM,sinus_forecasting,small,10000,9841,0.0001,2,regression,0.4396285490459665,0.4211563275707591
LSTM,sinus_forecasting,small,10000,9841,0.0001,3,regression,0.4487935165288854,0.4271361386440304
LSTM,sinus_forecasting,small,10000,9841,0.0001,4,regression,0.43264063268896746,0.41507442751877566
LSTM,sinus_forecasting,small,10000,9841,0.0001,5,regression,0.4096026668944514,0.39549318532933037
LSTM,sinus_forecasting,small,10000,9841,0.0001,6,regression,0.41938955931893407,0.4044805602569522
LSTM,sinus_forecasting,small,10000,9841,0.0001,7,regression,0.4084212133609852,0.39290465341935793
LSTM,sinus_forecasting,small,10000,9841,0.0001,8,regression,0.447338082180873,0.42701845256233467
LSTM,sinus_forecasting,small,10000,9841,0.0001,9,regression,0.4356203358113905,0.41420258161018897
LSTM,sinus_forecasting,small,100000,99373,0.01,0,regression,0.1138718116194168,0.08047042935208262
LSTM,sinus_forecasting,small,100000,99373,0.01,1,regression,0.18290714379785228,0.17516006787829536
LSTM,sinus_forecasting,small,100000,99373,0.01,2,regression,0.1378967701787915,0.1131611725768485
LSTM,sinus_forecasting,small,100000,99373,0.01,3,regression,0.08867679427417716,0.056378421257404034
LSTM,sinus_forecasting,small,100000,99373,0.01,4,regression,0.006718054506374807,0.023190577324644388
LSTM,sinus_forecasting,small,100000,99373,0.01,5,regression,0.15724398093547548,0.14437159349923606
LSTM,sinus_forecasting,small,100000,99373,0.01,6,regression,0.10982894607899926,0.06353281122400473
LSTM,sinus_forecasting,small,100000,99373,0.01,7,regression,0.09017969532217737,0.06962048994472106
LSTM,sinus_forecasting,small,100000,99373,0.01,8,regression,0.09882818155587089,0.04593678325817207
LSTM,sinus_forecasting,small,100000,99373,0.01,9,regression,0.104922028184152,0.0897677615916252
LSTM,sinus_forecasting,small,100000,99373,0.003,0,regression,0.03406947722103411,0.05696365900616845
LSTM,sinus_forecasting,small,100000,99373,0.003,1,regression,0.02335459883328745,0.05561463727411179
LSTM,sinus_forecasting,small,100000,99373,0.003,2,regression,0.018130738726899843,0.07332990602966917
LSTM,sinus_forecasting,small,100000,99373,0.003,3,regression,0.0233640321312874,0.03443813120037261
LSTM,sinus_forecasting,small,100000,99373,0.003,4,regression,0.03851935084378237,0.05636594537551679
LSTM,sinus_forecasting,small,100000,99373,0.003,5,regression,0.014012587992563,0.05525530583104453
LSTM,sinus_forecasting,small,100000,99373,0.003,6,regression,0.010484783189730524,0.05875897503830404
LSTM,sinus_forecasting,small,100000,99373,0.003,7,regression,0.02733419075855354,0.028341696914735436
LSTM,sinus_forecasting,small,100000,99373,0.003,8,regression,0.016616631552682094,0.06120398287385657
LSTM,sinus_forecasting,small,100000,99373,0.003,9,regression,0.04109116248262655,0.05798438029426095
LSTM,sinus_forecasting,small,100000,99373,0.001,0,regression,0.041342638744848004,0.05081049412369946
LSTM,sinus_forecasting,small,100000,99373,0.001,1,regression,0.024329288964044123,0.058582669126786495
LSTM,sinus_forecasting,small,100000,99373,0.001,2,regression,0.03855749751606151,0.07185278795496623
LSTM,sinus_forecasting,small,100000,99373,0.001,3,regression,0.0342276814082276,0.06561284859615078
LSTM,sinus_forecasting,small,100000,99373,0.001,4,regression,0.030574444830277193,0.05952442772618996
LSTM,sinus_forecasting,small,100000,99373,0.001,5,regression,0.015414959390963792,0.06192993742489654
LSTM,sinus_forecasting,small,100000,99373,0.001,6,regression,0.014556861879392743,0.069748420283644
LSTM,sinus_forecasting,small,100000,99373,0.001,7,regression,0.04661472699330864,0.06477470564993158
LSTM,sinus_forecasting,small,100000,99373,0.001,8,regression,0.02519211531163641,0.05565024506863229
LSTM,sinus_forecasting,small,100000,99373,0.001,9,regression,0.038080772495245094,0.05382485776959491
LSTM,sinus_forecasting,small,100000,99373,0.0003,0,regression,0.04710572700859316,0.057984206964190016
LSTM,sinus_forecasting,small,100000,99373,0.0003,1,regression,0.01395310457526231,0.07680236781473292
LSTM,sinus_forecasting,small,100000,99373,0.0003,2,regression,0.040431108878367435,0.07176127537325433
LSTM,sinus_forecasting,small,100000,99373,0.0003,3,regression,0.007587091233138157,0.09934744317889647
LSTM,sinus_forecasting,small,100000,99373,0.0003,4,regression,0.03390008016780659,0.08147204387052662
