Model,Task,Difficulty,Target_Params,Actual_Params,LR,Seed,Category,Best_Val_Score,Test_Score
LSTM,associative_recall,small,1000,977,0.01,0,classification,0.44999999999999996,0.6
LSTM,associative_recall,small,1000,977,0.01,1,classification,0.55,0.64
LSTM,associative_recall,small,1000,977,0.01,2,classification,0.8,0.7
LSTM,associative_recall,small,1000,977,0.01,3,classification,0.65,0.64
LSTM,associative_recall,small,1000,977,0.01,4,classification,0.55,0.6599999999999999
LSTM,associative_recall,small,1000,977,0.01,5,classification,0.65,0.62
LSTM,associative_recall,small,1000,977,0.01,6,classification,0.6,0.69
LSTM,associative_recall,small,1000,977,0.01,7,classification,0.55,0.6699999999999999
LSTM,associative_recall,small,1000,977,0.01,8,classification,0.44999999999999996,0.73
LSTM,associative_recall,small,1000,977,0.01,9,classification,0.75,0.61
LSTM,associative_recall,small,1000,977,0.003,0,classification,0.44999999999999996,0.6
LSTM,associative_recall,small,1000,977,0.003,1,classification,0.55,0.7
LSTM,associative_recall,small,1000,977,0.003,2,classification,0.8,0.7
LSTM,associative_recall,small,1000,977,0.003,3,classification,0.65,0.65
LSTM,associative_recall,small,1000,977,0.003,4,classification,0.65,0.64
LSTM,associative_recall,small,1000,977,0.003,5,classification,0.5,0.72
LSTM,associative_recall,small,1000,977,0.003,6,classification,0.6,0.69
LSTM,associative_recall,small,1000,977,0.003,7,classification,0.7,0.5900000000000001
LSTM,associative_recall,small,1000,977,0.003,8,classification,0.44999999999999996,0.73
LSTM,associative_recall,small,1000,977,0.003,9,classification,0.8,0.6799999999999999
LSTM,associative_recall,small,1000,977,0.001,0,classification,0.44999999999999996,0.6
LSTM,associative_recall,small,1000,977,0.001,1,classification,0.55,0.7
LSTM,associative_recall,small,1000,977,0.001,2,classification,0.8,0.72
LSTM,associative_recall,small,1000,977,0.001,3,classification,0.65,0.65
LSTM,associative_recall,small,1000,977,0.001,4,classification,0.65,0.64
LSTM,associative_recall,small,1000,977,0.001,5,classification,0.65,0.71
