Model,Task,Difficulty,Target_Params,Actual_Params,LR,Seed,Category,Best_Val_Score,Test_Score
MAMBA,sinus_forecasting,small,1000,1125,0.01,0,regression,0.013037830574277168,0.023270334865820988
MAMBA,sinus_forecasting,small,1000,1125,0.01,1,regression,0.01644233091447872,0.011716939720777692
MAMBA,sinus_forecasting,small,1000,1125,0.01,2,regression,0.01847450584731197,0.059525526886201774
MAMBA,sinus_forecasting,small,1000,1125,0.01,3,regression,0.012941411965741617,0.05527779975330652
MAMBA,sinus_forecasting,small,1000,1125,0.01,4,regression,0.012964095610829257,0.0067206771674642885
MAMBA,sinus_forecasting,small,1000,1125,0.01,5,regression,0.03655269701734005,0.04104382357592423
MAMBA,sinus_forecasting,small,1000,1125,0.01,6,regression,0.01675476899252794,0.01611171072850912
MAMBA,sinus_forecasting,small,1000,1125,0.01,7,regression,0.04855221744312628,0.029755433833311053
MAMBA,sinus_forecasting,small,1000,1125,0.01,8,regression,0.021255656144350512,0.025978501817067696
MAMBA,sinus_forecasting,small,1000,1125,0.01,9,regression,0.018417751927985414,0.01775060154566895
MAMBA,sinus_forecasting,small,1000,1125,0.003,0,regression,0.017745379830449205,0.03490916127403918
MAMBA,sinus_forecasting,small,1000,1125,0.003,1,regression,0.013311004982760255,0.009561072972663879
MAMBA,sinus_forecasting,small,1000,1125,0.003,2,regression,0.015682484009856366,0.024056882050568124
MAMBA,sinus_forecasting,small,1000,1125,0.003,3,regression,0.009503397562089275,0.04721642229957214
MAMBA,sinus_forecasting,small,1000,1125,0.003,4,regression,0.03819490846200283,0.020549003304537353
MAMBA,sinus_forecasting,small,1000,1125,0.003,5,regression,0.01931981997996972,0.027206359561603992
MAMBA,sinus_forecasting,small,1000,1125,0.003,6,regression,0.01762074519565985,0.014163765457380949
MAMBA,sinus_forecasting,small,1000,1125,0.003,7,regression,0.0392567908969171,0.023884655890163052
MAMBA,sinus_forecasting,small,1000,1125,0.003,8,regression,0.017943336094378357,0.027646585569299765
MAMBA,sinus_forecasting,small,1000,1125,0.003,9,regression,0.019787255171560193,0.014744660937656997
MAMBA,sinus_forecasting,small,1000,1125,0.001,0,regression,0.023277589884947096,0.03706951964862133
MAMBA,sinus_forecasting,small,1000,1125,0.001,1,regression,0.013399741280572022,0.008673285147008753
MAMBA,sinus_forecasting,small,1000,1125,0.001,2,regression,0.01651119977145132,0.02971903708818726
MAMBA,sinus_forecasting,small,1000,1125,0.001,3,regression,0.006298537782218913,0.03655640724581352
MAMBA,sinus_forecasting,small,1000,1125,0.001,4,regression,0.017276085414088007,0.010526796336549587
MAMBA,sinus_forecasting,small,1000,1125,0.001,5,regression,0.019435665771733328,0.03383592436509293
MAMBA,sinus_forecasting,small,1000,1125,0.001,6,regression,0.018114354887946986,0.012133309148906639
MAMBA,sinus_forecasting,small,1000,1125,0.001,7,regression,0.020326041882729226,0.014554164307689884
MAMBA,sinus_forecasting,small,1000,1125,0.001,8,regression,0.014285309962039042,0.01236634490851715
MAMBA,sinus_forecasting,small,1000,1125,0.001,9,regression,0.039565081061739484,0.018692835026501268
MAMBA,sinus_forecasting,small,1000,1125,0.0003,0,regression,0.02574195534939496,0.03685931844224244
MAMBA,sinus_forecasting,small,1000,1125,0.0003,1,regression,0.028179984619342124,0.01606411131210894
MAMBA,sinus_forecasting,small,1000,1125,0.0003,2,regression,0.16569770746454865,0.17318945464415322
MAMBA,sinus_forecasting,small,1000,1125,0.0003,3,regression,0.004561751642231325,0.023225965600557168
MAMBA,sinus_forecasting,small,1000,1125,0.0003,4,regression,0.034455237538659346,0.015199323467090685
MAMBA,sinus_forecasting,small,1000,1125,0.0003,5,regression,0.3743279845145583,0.36890642902726706
MAMBA,sinus_forecasting,small,1000,1125,0.0003,6,regression,0.19203288200329616,0.15982260660761763
MAMBA,sinus_forecasting,small,1000,1125,0.0003,7,regression,0.10224858958219452,0.08458491843656417
MAMBA,sinus_forecasting,small,1000,1125,0.0003,8,regression,0.03889073908484897,0.06695412493799828
MAMBA,sinus_forecasting,small,1000,1125,0.0003,9,regression,0.03507614433543591,0.01864193323165609
MAMBA,sinus_forecasting,small,1000,1125,0.0001,0,regression,0.47922572301980904,0.45602636344518377
MAMBA,sinus_forecasting,small,1000,1125,0.0001,1,regression,0.3314169251744069,0.3092778195031051
MAMBA,sinus_forecasting,small,1000,1125,0.0001,2,regression,0.5974729576054446,0.5719264009539812
MAMBA,sinus_forecasting,small,1000,1125,0.0001,3,regression,0.2088206095169831,0.22990964007009834
MAMBA,sinus_forecasting,small,1000,1125,0.0001,4,regression,0.37642161156484855,0.3508811894449973
MAMBA,sinus_forecasting,small,1000,1125,0.0001,5,regression,0.6981499298360399,0.6735664417104061
MAMBA,sinus_forecasting,small,1000,1125,0.0001,6,regression,0.5694402141477315,0.53767701026951
MAMBA,sinus_forecasting,small,1000,1125,0.0001,7,regression,0.4780568838204632,0.4510744118991818
MAMBA,sinus_forecasting,small,1000,1125,0.0001,8,regression,0.4838026772126229,0.46752408003975787
MAMBA,sinus_forecasting,small,1000,1125,0.0001,9,regression,0.47694085436173184,0.4478159611882045
MAMBA,sinus_forecasting,small,10000,9621,0.01,0,regression,0.01456460875369808,0.008721173142051992
MAMBA,sinus_forecasting,small,10000,9621,0.01,1,regression,0.013232059663834141,0.01449360524031107
MAMBA,sinus_forecasting,small,10000,9621,0.01,2,regression,0.012441868442618274,0.007054459592580038
MAMBA,sinus_forecasting,small,10000,9621,0.01,3,regression,0.010321838342661486,0.021872029551249235
MAMBA,sinus_forecasting,small,10000,9621,0.01,4,regression,0.013774357331099493,0.01574340728688956
MAMBA,sinus_forecasting,small,10000,9621,0.01,5,regression,0.012471171024722451,0.006404849616931443
MAMBA,sinus_forecasting,small,10000,9621,0.01,6,regression,0.009872956702425807,0.00785582026164291
MAMBA,sinus_forecasting,small,10000,9621,0.01,7,regression,0.013043513979567803,0.011715839381440921
MAMBA,sinus_forecasting,small,10000,9621,0.01,8,regression,0.013281230853999914,0.009102543773934688
MAMBA,sinus_forecasting,small,10000,9621,0.01,9,regression,0.011954824783385953,0.006390197957438014
MAMBA,sinus_forecasting,small,10000,9621,0.003,0,regression,0.01105186358824371,0.007951704046847387
