Model,Task,Difficulty,Target_Params,Actual_Params,LR,Seed,Category,Best_Val_Score,Test_Score
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.01,0,regression,0.0450718358605869,0.11901931744148013
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.01,1,regression,0.03660074637802008,0.07173040189043678
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.01,2,regression,0.025880064909035112,0.11106961367223565
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.01,3,regression,0.4437510108575521,0.43844891890773685
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.01,4,regression,0.07570051711870858,0.09931376841571557
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.01,5,regression,0.0513497959635566,0.10653833333549319
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.01,6,regression,0.05568200060394183,0.12359040968119356
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.01,7,regression,0.10217345574843781,0.260085478883557
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.01,8,regression,0.21627665734872167,0.24569337745735373
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.01,9,regression,0.057369683618887245,0.0664729407610969
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.003,0,regression,0.08386838551117584,0.14335226458436603
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.003,1,regression,0.038459089938151406,0.1039961638913155
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.003,2,regression,0.030995922160753298,0.2828809636588568
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.003,3,regression,0.4911238579821685,0.48001258369340133
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.003,4,regression,0.10806873971838216,0.10707854962487229
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.003,5,regression,0.07399895047877023,0.11766351867403628
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.003,6,regression,0.24886807971069555,0.1586397783698764
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.003,7,regression,0.13009385800972356,0.32320643400622884
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.003,8,regression,0.2750965951837915,0.2677109074746636
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.003,9,regression,0.1775799123652844,0.17412833885871443
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.001,0,regression,0.14183959915489588,0.1785807362402991
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.001,1,regression,0.037270279285895984,0.10222386955230135
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.001,2,regression,0.05595364478766131,0.30402524914822476
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.001,3,regression,0.5245010770610998,0.5191398423407906
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.001,4,regression,0.09670902392205384,0.09602301350383391
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.001,5,regression,0.07686185056081896,0.12007273455648163
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.001,6,regression,0.2160560286205749,0.16898801358234983
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.001,7,regression,0.15016014494363092,0.3632328134085857
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.001,8,regression,0.32896856065480196,0.2717632986782295
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.001,9,regression,0.16899913837539127,0.15007336769531449
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0003,0,regression,0.47097228376311817,0.5122578435708203
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0003,1,regression,0.055539047394496575,0.0992845592280168
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0003,2,regression,0.1769831963530883,0.29350497872006387
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0003,3,regression,0.5507291386830733,0.5518955336949739
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0003,4,regression,0.2563681200244971,0.24209509165681395
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0003,5,regression,0.1123485445337524,0.12960324585019203
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0003,6,regression,0.43923611684225455,0.2236123854924031
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0003,7,regression,0.2736091954995762,0.4215272051031433
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0003,8,regression,0.33724591368703494,0.2747687947197776
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0003,9,regression,0.1684410964127947,0.16094822808625991
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0001,0,regression,1.138776962251058,0.8219389501195937
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0001,1,regression,0.1956372418514809,0.22923460758760125
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0001,2,regression,0.5046057348458198,0.3931319379597939
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0001,3,regression,0.5965851483547959,0.6348062805526796
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0001,4,regression,0.6047789443950162,0.8175762054148857
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0001,5,regression,0.3911196955270383,0.21876390776833918
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0001,6,regression,0.6391023192508344,0.4765927253003705
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0001,7,regression,0.659216153071293,0.6180762606731892
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0001,8,regression,0.5093996031033784,0.4323158473694392
TRANSFORMER_DECODER,sinus_forecasting,small,1000,1051,0.0001,9,regression,0.29930235663214166,0.37349199155602936
TRANSFORMER_DECODER,sinus_forecasting,small,10000,10221,0.01,0,regression,0.02831702524850539,0.09150487534301861
TRANSFORMER_DECODER,sinus_forecasting,small,10000,10221,0.01,1,regression,0.021138889460344236,0.07284944693229287
TRANSFORMER_DECODER,sinus_forecasting,small,10000,10221,0.01,2,regression,0.030883765030932254,0.05025740539704252
TRANSFORMER_DECODER,sinus_forecasting,small,10000,10221,0.01,3,regression,0.033296179308801535,0.06053217639345819
