Model,Task,Difficulty,Target_Params,Actual_Params,LR,Seed,Category,Best_Val_Score,Test_Score
TRANSFORMER_ENCDEC,sinus_forecasting,small,1000,1197,0.01,0,regression,0.5094253150356304,0.539338484480985
TRANSFORMER_ENCDEC,sinus_forecasting,small,1000,1197,0.01,1,regression,0.042513925474439024,0.029210140481968416
TRANSFORMER_ENCDEC,sinus_forecasting,small,1000,1197,0.01,2,regression,0.49916327656853066,0.5197331307833211
TRANSFORMER_ENCDEC,sinus_forecasting,small,1000,1197,0.01,3,regression,0.07461965874406275,0.24594416573052405
TRANSFORMER_ENCDEC,sinus_forecasting,small,1000,1197,0.01,4,regression,0.5228100627254523,0.4934166814374295
TRANSFORMER_ENCDEC,sinus_forecasting,small,1000,1197,0.01,5,regression,0.07327213916246669,0.10827321913578679
TRANSFORMER_ENCDEC,sinus_forecasting,small,1000,1197,0.01,6,regression,0.06259508447628181,0.1391175321387212
TRANSFORMER_ENCDEC,sinus_forecasting,small,1000,1197,0.01,7,regression,0.12244566506289586,0.5856653311372579
TRANSFORMER_ENCDEC,sinus_forecasting,small,1000,1197,0.01,8,regression,0.05171216623095328,0.12603088232936305
TRANSFORMER_ENCDEC,sinus_forecasting,small,1000,1197,0.01,9,regression,0.11170167053470817,0.29049116381865697
TRANSFORMER_ENCDEC,sinus_forecasting,small,1000,1197,0.003,0,regression,0.4995269875828064,0.5184520643643852
TRANSFORMER_ENCDEC,sinus_forecasting,small,1000,1197,0.003,1,regression,0.18776465240937643,0.41650600072553495
TRANSFORMER_ENCDEC,sinus_forecasting,small,1000,1197,0.003,2,regression,0.4408741635315943,0.5260412972440616
TRANSFORMER_ENCDEC,sinus_forecasting,small,1000,1197,0.003,3,regression,0.28184477758129384,0.40827175278707756
TRANSFORMER_ENCDEC,sinus_forecasting,small,1000,1197,0.003,4,regression,0.5258200488205216,0.4967111193346477
TRANSFORMER_ENCDEC,sinus_forecasting,small,1000,1197,0.003,5,regression,0.3004493150733523,0.29891689457565723
TRANSFORMER_ENCDEC,sinus_forecasting,small,1000,1197,0.003,6,regression,0.10956529814310927,0.3007483765964582
TRANSFORMER_ENCDEC,sinus_forecasting,small,1000,1197,0.003,7,regression,0.08722684060752374,0.2134770160866675
TRANSFORMER_ENCDEC,sinus_forecasting,small,1000,1197,0.003,8,regression,0.04786721839603566,0.08860098864821407
