Model,Task,Difficulty,Target_Params,Actual_Params,LR,Seed,Category,Best_Val_Score,Test_Score
XLSTM,sinus_forecasting,small,1000,4405,0.01,0,regression,0.009771042177892765,0.006864841769649646
XLSTM,sinus_forecasting,small,1000,4405,0.01,1,regression,0.011694383000537113,0.008045073998466998
XLSTM,sinus_forecasting,small,1000,4405,0.01,2,regression,0.014048039368981826,0.011698956222302406
XLSTM,sinus_forecasting,small,1000,4405,0.01,3,regression,0.010880752720386785,0.006300744937330022
XLSTM,sinus_forecasting,small,1000,4405,0.01,4,regression,0.011654214654129963,0.0070252864245084045
XLSTM,sinus_forecasting,small,1000,4405,0.01,5,regression,0.009655794500099808,0.011261891428202797
XLSTM,sinus_forecasting,small,1000,4405,0.01,6,regression,0.007993933161683526,0.006006533634716167
XLSTM,sinus_forecasting,small,1000,4405,0.01,7,regression,0.012773112444018724,0.009418845566649526
XLSTM,sinus_forecasting,small,1000,4405,0.01,8,regression,0.014609618049865197,0.009364167802105795
XLSTM,sinus_forecasting,small,1000,4405,0.01,9,regression,0.010770913689932526,0.008109005094555834
XLSTM,sinus_forecasting,small,1000,4405,0.003,0,regression,0.010752010089135209,0.00708423490157784
XLSTM,sinus_forecasting,small,1000,4405,0.003,1,regression,0.011761069834857234,0.007657285388403756
XLSTM,sinus_forecasting,small,1000,4405,0.003,2,regression,0.014719620396771802,0.012681447317422238
XLSTM,sinus_forecasting,small,1000,4405,0.003,3,regression,0.013501402104962427,0.0112018448342041
XLSTM,sinus_forecasting,small,1000,4405,0.003,4,regression,0.018785682293084967,0.02204790075120882
XLSTM,sinus_forecasting,small,1000,4405,0.003,5,regression,0.02162841001703196,0.05584647774971969
XLSTM,sinus_forecasting,small,1000,4405,0.003,6,regression,0.006820455106729538,0.005501037921524848
XLSTM,sinus_forecasting,small,1000,4405,0.003,7,regression,0.009069862596689432,0.006134746105398813
XLSTM,sinus_forecasting,small,1000,4405,0.003,8,regression,0.010572333882531931,0.007641264066843439
XLSTM,sinus_forecasting,small,1000,4405,0.003,9,regression,0.018475006593641683,0.038881305989772866
XLSTM,sinus_forecasting,small,1000,4405,0.001,0,regression,0.014615282809954708,0.016163330637160547
XLSTM,sinus_forecasting,small,1000,4405,0.001,1,regression,0.011073010671299389,0.008924035063948621
XLSTM,sinus_forecasting,small,1000,4405,0.001,2,regression,0.013149318091093525,0.0076910724648645715
XLSTM,sinus_forecasting,small,1000,4405,0.001,3,regression,0.029465112116610875,0.02851877395072616
XLSTM,sinus_forecasting,small,1000,4405,0.001,4,regression,0.03626036037746038,0.04042603837430678
XLSTM,sinus_forecasting,small,1000,4405,0.001,5,regression,0.016943695647475297,0.04647780655789692
XLSTM,sinus_forecasting,small,1000,4405,0.001,6,regression,0.06635432199909203,0.09707166302832451
XLSTM,sinus_forecasting,small,1000,4405,0.001,7,regression,0.00930388824863559,0.0060047663574483955
XLSTM,sinus_forecasting,small,1000,4405,0.001,8,regression,0.0361313342071807,0.05229456293957802
XLSTM,sinus_forecasting,small,1000,4405,0.001,9,regression,0.032749166371664924,0.04830564157591759
XLSTM,sinus_forecasting,small,1000,4405,0.0003,0,regression,0.13493366325196113,0.13503264972913936
XLSTM,sinus_forecasting,small,1000,4405,0.0003,1,regression,0.048162809814296034,0.042051291662310086
XLSTM,sinus_forecasting,small,1000,4405,0.0003,2,regression,0.021047768034432715,0.01063695264948244
XLSTM,sinus_forecasting,small,1000,4405,0.0003,3,regression,0.01165996955383504,0.014871680697417688
XLSTM,sinus_forecasting,small,1000,4405,0.0003,4,regression,0.03617849014686844,0.028041108759700815
XLSTM,sinus_forecasting,small,1000,4405,0.0003,5,regression,0.023177666864216025,0.043135125081844736
XLSTM,sinus_forecasting,small,1000,4405,0.0003,6,regression,0.062247963145858086,0.08259160213952721
XLSTM,sinus_forecasting,small,1000,4405,0.0003,7,regression,0.013466363182331294,0.005916200870538171
XLSTM,sinus_forecasting,small,1000,4405,0.0003,8,regression,0.04520629050631038,0.045415104095817456
XLSTM,sinus_forecasting,small,1000,4405,0.0003,9,regression,0.07214356104513293,0.07194633449116096
XLSTM,sinus_forecasting,small,1000,4405,0.0001,0,regression,0.2677953513677868,0.23820587513155117
XLSTM,sinus_forecasting,small,1000,4405,0.0001,1,regression,0.13128911936217608,0.12639390708589232
XLSTM,sinus_forecasting,small,1000,4405,0.0001,2,regression,0.060759388218093444,0.029974883818503332
XLSTM,sinus_forecasting,small,1000,4405,0.0001,3,regression,0.06755144249883396,0.08556866989245934
XLSTM,sinus_forecasting,small,1000,4405,0.0001,4,regression,0.059708934941577106,0.0707788859104789
XLSTM,sinus_forecasting,small,1000,4405,0.0001,5,regression,0.018063174139402477,0.03533072745839891
XLSTM,sinus_forecasting,small,1000,4405,0.0001,6,regression,0.06332203951313078,0.07249289078504188
XLSTM,sinus_forecasting,small,1000,4405,0.0001,7,regression,0.03099222886940849,0.011030917862227443
XLSTM,sinus_forecasting,small,1000,4405,0.0001,8,regression,0.14785829790642036,0.1047853525199679
XLSTM,sinus_forecasting,small,1000,4405,0.0001,9,regression,0.16857821733493003,0.1785128527638443
XLSTM,sinus_forecasting,small,10000,9721,0.01,0,regression,0.01017976979388064,0.01907491732978631
XLSTM,sinus_forecasting,small,10000,9721,0.01,1,regression,0.01016487089675069,0.007686352806706893
XLSTM,sinus_forecasting,small,10000,9721,0.01,2,regression,0.00950041286489379,0.006577587698245729
XLSTM,sinus_forecasting,small,10000,9721,0.01,3,regression,0.012299918856093713,0.011056868351460506
XLSTM,sinus_forecasting,small,10000,9721,0.01,4,regression,0.010380612694474938,0.009606214472160098
XLSTM,sinus_forecasting,small,10000,9721,0.01,5,regression,0.01309927234895233,0.01963420967946169
XLSTM,sinus_forecasting,small,10000,9721,0.01,6,regression,0.010249028361515323,0.011899379490291758
XLSTM,sinus_forecasting,small,10000,9721,0.01,7,regression,0.012288378081354598,0.009942985156360275
XLSTM,sinus_forecasting,small,10000,9721,0.01,8,regression,0.01132344108773006,0.0072305490223240395
XLSTM,sinus_forecasting,small,10000,9721,0.01,9,regression,0.010117564454045172,0.006560198134593646
XLSTM,sinus_forecasting,small,10000,9721,0.003,0,regression,0.011871871839486119,0.018668079813272134
XLSTM,sinus_forecasting,small,10000,9721,0.003,1,regression,0.017147065113524533,0.010018467292529282
XLSTM,sinus_forecasting,small,10000,9721,0.003,2,regression,0.012363913138272557,0.018935481048113316
XLSTM,sinus_forecasting,small,10000,9721,0.003,3,regression,0.009438393515397669,0.008144038122071633
XLSTM,sinus_forecasting,small,10000,9721,0.003,4,regression,0.006237377078157819,0.01159206140712341
XLSTM,sinus_forecasting,small,10000,9721,0.003,5,regression,0.005034958036947637,0.023074901151000467
XLSTM,sinus_forecasting,small,10000,9721,0.003,6,regression,0.008655090440185633,0.0074656442916964695
XLSTM,sinus_forecasting,small,10000,9721,0.003,7,regression,0.02189039250374676,0.026697345386254224
XLSTM,sinus_forecasting,small,10000,9721,0.003,8,regression,0.010255148807436516,0.007541509922422667
XLSTM,sinus_forecasting,small,10000,9721,0.003,9,regression,0.010534891187258947,0.009684802726176769
XLSTM,sinus_forecasting,small,10000,9721,0.001,0,regression,0.008737522910644542,0.018515071865151965
XLSTM,sinus_forecasting,small,10000,9721,0.001,1,regression,0.008418579180209069,0.007445256405965459
XLSTM,sinus_forecasting,small,10000,9721,0.001,2,regression,0.0016222056528519238,0.019228315158689096
XLSTM,sinus_forecasting,small,10000,9721,0.001,3,regression,0.01173001026612517,0.012988161270793106
XLSTM,sinus_forecasting,small,10000,9721,0.001,4,regression,0.009691584127096213,0.012110579008279481
XLSTM,sinus_forecasting,small,10000,9721,0.001,5,regression,0.019185586090795535,0.02298085997646826
XLSTM,sinus_forecasting,small,10000,9721,0.001,6,regression,0.017104422158957112,0.016445965966895144
XLSTM,sinus_forecasting,small,10000,9721,0.001,7,regression,0.0322138389815,0.035136134749773014
XLSTM,sinus_forecasting,small,10000,9721,0.001,8,regression,0.010956265858469642,0.007985610903941178
XLSTM,sinus_forecasting,small,10000,9721,0.001,9,regression,0.011232837936554118,0.020258091093945038
XLSTM,sinus_forecasting,small,10000,9721,0.0003,0,regression,0.004855760648800457,0.021868929704941864
XLSTM,sinus_forecasting,small,10000,9721,0.0003,1,regression,0.00701696942663428,0.010508230507620247
XLSTM,sinus_forecasting,small,10000,9721,0.0003,2,regression,0.0047647245116578104,0.011599762158567775
XLSTM,sinus_forecasting,small,10000,9721,0.0003,3,regression,0.008586424743957221,0.010486042738614712
XLSTM,sinus_forecasting,small,10000,9721,0.0003,4,regression,0.008239129734562515,0.013639338910339607
XLSTM,sinus_forecasting,small,10000,9721,0.0003,5,regression,0.02331964150103836,0.020663201655578372
XLSTM,sinus_forecasting,small,10000,9721,0.0003,6,regression,0.008603910206235469,0.00764780970995576
XLSTM,sinus_forecasting,small,10000,9721,0.0003,7,regression,0.011025091945648258,0.018759779118685215
XLSTM,sinus_forecasting,small,10000,9721,0.0003,8,regression,0.02293291376502314,0.017484824600709954
XLSTM,sinus_forecasting,small,10000,9721,0.0003,9,regression,0.009581971750519898,0.013447718399555867
XLSTM,sinus_forecasting,small,10000,9721,0.0001,0,regression,0.007440020236246239,0.02225689384278359
XLSTM,sinus_forecasting,small,10000,9721,0.0001,1,regression,0.014888677925059438,0.009776356876643593
XLSTM,sinus_forecasting,small,10000,9721,0.0001,2,regression,0.010054027484805345,0.011485002193430247
XLSTM,sinus_forecasting,small,10000,9721,0.0001,3,regression,0.015082077376936037,0.012672956448666657
XLSTM,sinus_forecasting,small,10000,9721,0.0001,4,regression,0.009314348753649327,0.014785118386068124
XLSTM,sinus_forecasting,small,10000,9721,0.0001,5,regression,0.022200839243867357,0.018897170844406525
XLSTM,sinus_forecasting,small,10000,9721,0.0001,6,regression,0.012021924098203103,0.007971824539501172
XLSTM,sinus_forecasting,small,10000,9721,0.0001,7,regression,0.028322826802183464,0.030915474340205154
